nation,fin_year,disease,prev_chd,Unnamed: 4,prev_stroke_tia,Unnamed: 6,prev_af,Unnamed: 8,prev_hf
England,2006/07,hf,0.00782130052555929,,,,,,
England,2007/08,hf,0.008,,,,,,
England,2008/09,hf,0.00731053535346468,,,,,,
England,2009/10,hf,0.00717203983670675,,,,,,
England,2010/11,hf,0.00712081823694237,,,,,,
England,2011/12,hf,0.006999999999999999,,,,,,
England,2012/13,hf,0.006999999999999999,,,,,,
England,2013/14,hf,0.0070975383602856065,,,,,,
England,2014/15,hf,0.006999999999999999,,,,,,
England,2015/16,hf,0.0075561957133639035,,,,,,
England,2016/17,hf,0.007889035487631759,,,,,,
England,2017/18,hf,0.008316783785271622,,,,,,
England,2018/19,hf,0.009348997134440122,,,,,,
England,2019/20,hf,0.00894,,,,,,
Wales,2004/05,hf,,,,,,,
Wales,2005/06,hf,,,,,,,
Wales,2006/07,hf,0.01,,,,,,
Wales,2007/08,hf,0.009000000000000001,,,,,,
Wales,2008/09,hf,0.009000000000000001,,,,,,
Wales,2009/10,hf,0.009000000000000001,,,,,,
Wales,2010/11,hf,0.009000000000000001,,,,,,
Wales,2011/12,hf,0.009000000000000001,,,,,,
Wales,2012/13,hf,0.009000000000000001,,,,,,
Wales,2013/14,hf,0.00953619898424175,,,,,,
Wales,2014/15,hf,0.01,,,,,,
Wales,2015/16,hf,0.009883789688591223,,,,,,
Wales,2016/17,hf,0.010130652842229897,,,,,,
Wales,2017/18,hf,0.010271972697200553,,,,,,
Wales,2018/19,hf,0.01062217396156865,,,,,,
Wales,2019/20,hf,,,,,,,
Scotland,2004/05,hf,,,,,,,
Scotland,2005/06,hf,,,,,,,
Scotland,2006/07,hf,,,,,,,
Scotland,2007/08,hf,,,,,,,
Scotland,2008/09,hf,0.008369929358868478,,,,,,
Scotland,2009/10,hf,0.008183983306042412,,,,,,
Scotland,2010/11,hf,0.008073762266250896,,,,,,
Scotland,2011/12,hf,0.008106286788107483,,,,,,
Scotland,2012/13,hf,0.00818292997542774,,,,,,
Scotland,2013/14,hf,0.00832103053641054,,,,,,
Scotland,2014/15,hf,0.008215719141240677,,,,,,
Scotland,2015/16,hf,0.008480266147815713,,,,,,
Scotland,2016/17,hf,0.0084,,,,,,
Scotland,2017/18,hf,0.0083,,,,,,
Scotland,2018/19,hf,0.008,,,,,,
Scotland,2019/20,hf,,,,,,,
Northern Ireland,2004/05,hf,,,,,,,
Northern Ireland,2005/06,hf,,,,,,,
Northern Ireland,2006/07,hf,0.008183285307676529,,,,,,
Northern Ireland,2007/08,hf,0.007998036488587091,,,,,,
Northern Ireland,2008/09,hf,0.00750690999645254,,,,,,
Northern Ireland,2009/10,hf,0.00756022559412695,,,,,,
Northern Ireland,2010/11,hf,0.00757644164323373,,,,,,
Northern Ireland,2011/12,hf,0.00751436042061031,,,,,,
Northern Ireland,2012/13,hf,0.00754711842533904,,,,,,
Northern Ireland,2013/14,hf,0.0076425595261332005,,,,,,
Northern Ireland,2014/15,hf,0.007819911699346031,,,,,,
Northern Ireland,2015/16,hf,0.008047899919428744,,,,,,
Northern Ireland,2016/17,hf,0.008534224209338212,,,,,,
Northern Ireland,2017/18,hf,0.008830208018835613,,,,,,
Northern Ireland,2018/19,hf,0.009226691186578772,,,,,,
Northern Ireland,2019/20,hf,0.00968,,,,,,
UK,2006/07,hf,0.007971893155573161,,,,,,
UK,2007/08,hf,0.008067439732067624,,,,,,
UK,2008/09,hf,0.007488030132190805,,,,,,
UK,2009/10,hf,0.007357478002471728,,,,,,
UK,2010/11,hf,0.007305146732577019,,,,,,
UK,2011/12,hf,0.007204217572984809,,,,,,
UK,2012/13,hf,0.007210838837685305,,,,,,
UK,2013/14,hf,0.007332035537252732,,,,,,
UK,2014/15,hf,0.007267603756958578,,,,,,
UK,2015/16,hf,0.007757223010943856,,,,,,
UK,2016/17,hf,0.008055705024525208,,,,,,
UK,2017/18,hf,0.008422473467089386,,,,,,
UK,2018/19,hf,0.00929525956555221,,,,,,
UK,2019/20,hf,0.009008272310081228,,,,,,
